,prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier,cumalative_prod,reserves,remaining_oe
521,GYDA,2017,0.023,0.0,0.001,0.0,0.023,0.122,43492,46.24600000000001,46.01,-0.2360000000000113
522,HEIDRUN,1995,1.0590000000000002,0.0,0.000,0.0,1.0590000000000002,0.0,43771,1.0590000000000002,239.75,238.691
523,HEIDRUN,1996,12.189,0.0,0.000,0.0,12.189,0.0,43771,13.248000000000001,239.75,226.502
524,HEIDRUN,1997,13.456,0.326,0.000,0.0,13.783,0.0,43771,27.031,239.75,212.719
525,HEIDRUN,1998,11.69,0.5710000000000001,0.000,0.0,12.261,0.0,43771,39.292,239.75,200.458
526,HEIDRUN,1999,12.54,0.644,0.000,0.0,13.184000000000001,1.033,43771,52.476,239.75,187.274
527,HEIDRUN,2000,10.591,0.615,0.000,0.0,11.205,1.7,43771,63.681,239.75,176.06900000000002
528,HEIDRUN,2001,10.226,1.344,0.192,0.0,11.762,1.629,43771,75.443,239.75,164.30700000000002
529,HEIDRUN,2002,10.132,1.138,0.112,0.0,11.380999999999998,2.366,43771,86.824,239.75,152.926
530,HEIDRUN,2003,9.07,1.345,0.175,0.0,10.59,3.7230000000000003,43771,97.414,239.75,142.336
531,HEIDRUN,2004,8.583,1.34,0.161,0.0,10.083,3.6860000000000004,43771,107.497,239.75,132.253
532,HEIDRUN,2005,8.139,1.095,0.086,0.0,9.32,4.61,43771,116.81700000000001,239.75,122.93299999999999
533,HEIDRUN,2006,8.0,1.149,0.102,0.0,9.252,4.659,43771,126.069,239.75,113.681
534,HEIDRUN,2007,6.202999999999999,0.917,0.069,0.0,7.189,4.1080000000000005,43771,133.258,239.75,106.49199999999999
535,HEIDRUN,2008,5.46,1.0170000000000001,0.054,0.0,6.531000000000001,4.39,43771,139.78900000000002,239.75,99.96099999999998
536,HEIDRUN,2009,4.562,0.8759999999999999,0.057,0.0,5.494,4.621,43771,145.28300000000002,239.75,94.46699999999998
537,HEIDRUN,2010,3.21,0.85,0.036,0.0,4.096,4.04,43771,149.37900000000002,239.75,90.37099999999998
538,HEIDRUN,2011,3.705,0.7759999999999999,0.012,0.0,4.493,4.7139999999999995,43771,153.872,239.75,85.87799999999999
539,HEIDRUN,2012,3.181,0.6679999999999999,0.005,0.0,3.8539999999999996,4.754,43771,157.72600000000003,239.75,82.02399999999997
540,HEIDRUN,2013,3.4619999999999997,0.7829999999999999,0.026,0.0,4.271,5.051,43771,161.997,239.75,77.75299999999999
541,HEIDRUN,2014,2.948,0.684,0.006,0.0,3.638,4.836,43771,165.63500000000002,239.75,74.11499999999998
542,HEIDRUN,2015,3.0860000000000003,0.76,0.001,0.0,3.8480000000000003,4.971,43771,169.48300000000003,239.75,70.26699999999997
543,HEIDRUN,2016,3.3989999999999996,0.674,0.032,0.0,4.106,4.886,43771,173.58900000000003,239.75,66.16099999999997
544,HEIDRUN,2017,1.105,0.256,0.045,0.0,1.4069999999999998,1.51,43771,174.99600000000004,239.75,64.75399999999996
545,HEIMDAL,1986,0.316,2.084,0.000,0.0,2.4,0.0,43590,2.4,52.7,50.300000000000004
546,HEIMDAL,1987,0.52,3.525,0.000,0.0,4.045,0.0,43590,6.445,52.7,46.255
547,HEIMDAL,1988,0.578,3.595,0.000,0.0,4.173,0.0,43590,10.618,52.7,42.082
548,HEIMDAL,1989,0.47200000000000003,3.332,0.000,0.0,3.804,0.0,43590,14.422,52.7,38.278000000000006
549,HEIMDAL,1990,0.505,3.3339999999999996,0.000,0.0,3.839,0.0,43590,18.261,52.7,34.43900000000001
550,HEIMDAL,1991,0.49700000000000005,3.4160000000000004,0.000,0.0,3.9130000000000003,0.0,43590,22.174,52.7,30.526000000000003
551,HEIMDAL,1992,0.491,3.509,0.000,0.0,4.0,0.0,43590,26.174,52.7,26.526000000000003
552,HEIMDAL,1993,0.485,3.5060000000000002,0.000,0.0,3.99,0.0,43590,30.164,52.7,22.536
553,HEIMDAL,1994,0.444,3.2939999999999996,0.000,0.0,3.739,0.0,43590,33.903,52.7,18.797000000000004
554,HEIMDAL,1995,0.466,3.4339999999999997,0.000,0.0,3.9,0.0,43590,37.803,52.7,14.897000000000006
555,HEIMDAL,1996,0.627,4.569,0.000,0.0,5.197,0.0,43590,43.0,52.7,9.700000000000003
556,HEIMDAL,1997,0.40700000000000003,2.7119999999999997,0.000,0.0,3.1189999999999998,0.0,43590,46.119,52.7,6.581000000000003
557,HEIMDAL,1998,0.204,1.3259999999999998,0.000,0.0,1.53,0.0,43590,47.649,52.7,5.051000000000002
558,HEIMDAL,1999,0.11800000000000001,0.82,0.000,0.0,0.938,0.0,43590,48.587,52.7,4.1129999999999995
559,HEIMDAL,2001,0.013000000000000001,0.228,0.000,0.0,0.24,0.0,43590,48.827000000000005,52.7,3.8729999999999976
560,HEIMDAL,2002,0.099,0.547,0.000,0.0,0.6459999999999999,0.0,43590,49.473000000000006,52.7,3.2269999999999968
561,HEIMDAL,2003,0.055999999999999994,0.396,0.000,0.0,0.45299999999999996,0.0,43590,49.92600000000001,52.7,2.773999999999994
562,HEIMDAL,2004,0.051,0.337,0.000,0.0,0.38799999999999996,0.0,43590,50.31400000000001,52.7,2.3859999999999957
563,HEIMDAL,2005,0.045,0.292,0.000,0.0,0.337,0.0,43590,50.65100000000001,52.7,2.0489999999999924
564,HEIMDAL,2006,0.023,0.158,0.000,0.0,0.18100000000000002,0.0,43590,50.83200000000001,52.7,1.867999999999995
565,HEIMDAL,2007,0.026000000000000002,0.149,0.000,0.0,0.175,0.0,43590,51.007000000000005,52.7,1.6929999999999978
566,HEIMDAL,2008,0.022000000000000002,0.17,0.000,0.0,0.192,0.0,43590,51.199000000000005,52.7,1.5009999999999977
567,HEIMDAL,2009,0.026000000000000002,0.2,0.000,0.0,0.225,0.0,43590,51.42400000000001,52.7,1.2759999999999962
568,HEIMDAL,2010,0.025,0.187,0.000,0.0,0.212,0.0,43590,51.63600000000001,52.7,1.063999999999993
569,HEIMDAL,2011,0.018000000000000002,0.122,0.000,0.0,0.14,0.0,43590,51.77600000000001,52.7,0.9239999999999924
570,HEIMDAL,2013,0.001,0.0,0.000,0.0,0.001,0.0,43590,51.77700000000001,52.7,0.9229999999999947
571,HEIMDAL,2016,0.018000000000000002,0.14800000000000002,0.000,0.0,0.166,0.0,43590,51.943000000000005,52.7,0.7569999999999979
572,HEIMDAL,2017,0.023,0.16699999999999998,0.000,0.0,0.19,0.0,43590,52.133,52.7,0.5670000000000002
573,HOD,1990,0.155,0.021,0.010,0.0,0.18600000000000003,0.0,43485,0.18600000000000003,12.85,12.664
574,HOD,1991,1.526,0.20199999999999999,0.088,0.0,1.8159999999999998,0.0,43485,2.002,12.85,10.847999999999999
575,HOD,1992,1.288,0.25,0.077,0.0,1.614,0.0,43485,3.6159999999999997,12.85,9.234
576,HOD,1993,0.868,0.204,0.051,0.0,1.123,0.0,43485,4.739,12.85,8.111
577,HOD,1994,0.616,0.139,0.038,0.0,0.7929999999999999,0.0,43485,5.532,12.85,7.318
578,HOD,1995,0.524,0.11800000000000001,0.032,0.0,0.674,0.0,43485,6.206,12.85,6.643999999999999
579,HOD,1996,0.56,0.12,0.032,0.0,0.7120000000000001,0.0,43485,6.918,12.85,5.9319999999999995
580,HOD,1997,0.46799999999999997,0.095,0.026,0.0,0.589,0.0,43485,7.507,12.85,5.343
581,HOD,1998,0.294,0.054000000000000006,0.015,0.0,0.363,0.0,43485,7.869999999999999,12.85,4.98
582,HOD,1999,0.131,0.017,0.005,0.0,0.152,0.0,43485,8.021999999999998,12.85,4.828000000000001
583,HOD,2000,0.094,0.011000000000000001,0.003,0.0,0.109,0.006,43485,8.130999999999998,12.85,4.719000000000001
584,HOD,2001,0.377,0.043,0.015,0.0,0.434,0.042,43485,8.564999999999998,12.85,4.285000000000002
585,HOD,2002,0.37200000000000005,0.051,0.015,0.0,0.43799999999999994,0.054000000000000006,43485,9.002999999999998,12.85,3.8470000000000013
586,HOD,2003,0.33,0.042,0.014,0.0,0.386,0.063,43485,9.388999999999998,12.85,3.461000000000002
587,HOD,2004,0.282,0.051,0.013,0.0,0.34600000000000003,0.08199999999999999,43485,9.734999999999998,12.85,3.115000000000002
588,HOD,2005,0.231,0.035,0.010,0.0,0.27699999999999997,0.086,43485,10.011999999999997,12.85,2.8380000000000027
589,HOD,2006,0.376,0.048,0.015,0.0,0.439,0.132,43485,10.450999999999997,12.85,2.3990000000000027
590,HOD,2007,0.302,0.047,0.014,0.0,0.363,0.086,43485,10.813999999999997,12.85,2.036000000000003
591,HOD,2008,0.217,0.033,0.010,0.0,0.26,0.107,43485,11.073999999999996,12.85,1.7760000000000034
592,HOD,2009,0.19399999999999998,0.027000000000000003,0.009,0.0,0.23,0.091,43485,11.303999999999997,12.85,1.546000000000003
593,HOD,2010,0.17300000000000001,0.017,0.007,0.0,0.19699999999999998,0.095,43485,11.500999999999996,12.85,1.3490000000000038
594,HOD,2011,0.07,0.008,0.003,0.0,0.08,0.036000000000000004,43485,11.580999999999996,12.85,1.2690000000000037
595,HOD,2012,0.044000000000000004,0.004,0.001,0.0,0.05,0.035,43485,11.630999999999997,12.85,1.219000000000003
596,HOD,2013,0.036000000000000004,0.004,0.001,0.0,0.040999999999999995,0.019,43485,11.671999999999997,12.85,1.1780000000000026
597,HOD,2014,0.067,0.006999999999999999,0.002,0.0,0.076,0.071,43485,11.747999999999998,12.85,1.102000000000002
598,HOD,2015,0.067,0.005,0.002,0.0,0.07400000000000001,0.069,43485,11.821999999999997,12.85,1.0280000000000022
599,HOD,2016,0.077,0.008,0.002,0.0,0.087,0.055,43485,11.908999999999997,12.85,0.9410000000000025
600,HOD,2017,0.025,0.002,0.001,0.0,0.028999999999999998,0.025,43485,11.937999999999997,12.85,0.9120000000000026
601,HULDRA,2001,0.038,0.08199999999999999,0.002,0.0,0.122,0.003,97002,0.122,22.69,22.568
602,HULDRA,2002,1.249,2.615,0.052,0.0,3.9160000000000004,0.231,97002,4.038,22.69,18.652
603,HULDRA,2003,1.183,2.958,0.023,0.0,4.164,0.428,97002,8.202,22.69,14.488000000000001
604,HULDRA,2004,0.9390000000000001,3.0810000000000004,0.043,0.0,4.063,0.406,97002,12.265,22.69,10.425
605,HULDRA,2005,0.485,1.919,0.042,0.0,2.4459999999999997,0.28600000000000003,97002,14.711,22.69,7.979000000000001
606,HULDRA,2006,0.304,1.338,0.022,0.0,1.6640000000000001,0.251,97002,16.375,22.69,6.315000000000001
607,HULDRA,2007,0.168,0.767,0.001,0.0,0.937,0.204,97002,17.312,22.69,5.378
608,HULDRA,2008,0.209,1.083,0.001,0.0,1.2930000000000001,0.33,97002,18.605,22.69,4.085000000000001
609,HULDRA,2009,0.192,1.055,0.000,0.0,1.247,0.389,97002,19.852,22.69,2.838000000000001
610,HULDRA,2010,0.146,0.8240000000000001,0.000,0.0,0.97,0.322,97002,20.822,22.69,1.868000000000002
611,HULDRA,2011,0.099,0.5760000000000001,0.001,0.0,0.6759999999999999,0.25,97002,21.497999999999998,22.69,1.1920000000000037
612,HULDRA,2012,0.079,0.44,0.023,0.0,0.542,0.17,97002,22.04,22.69,0.6500000000000021
613,HULDRA,2013,0.066,0.37799999999999995,0.009,0.0,0.452,0.138,97002,22.492,22.69,0.1980000000000004
614,HULDRA,2014,0.075,0.223,0.004,0.0,0.301,0.083,97002,22.793,22.69,-0.10299999999999798
615,HULDRA,2015,0.0,0.0,0.000,0.0,0.0,0.0,97002,22.793,22.69,-0.10299999999999798
616,HYME,2013,0.358,0.048,0.039,0.0,0.445,0.004,20474183,0.445,4.57,4.125
617,HYME,2014,0.401,0.046,0.042,0.0,0.489,0.008,20474183,0.9339999999999999,4.57,3.636
618,HYME,2015,0.84,0.115,0.088,0.0,1.043,0.39,20474183,1.9769999999999999,4.57,2.5930000000000004
619,HYME,2016,0.27399999999999997,0.038,0.033,0.0,0.344,0.285,20474183,2.3209999999999997,4.57,2.2490000000000006
620,ISLAY,2012,0.002,0.025,0.002,0.0,0.028999999999999998,0.0,21105675,0.028999999999999998,0.1,0.07100000000000001
621,ISLAY,2013,0.002,0.031,0.003,0.0,0.035,0.0,21105675,0.064,0.1,0.036000000000000004
622,ISLAY,2014,0.0,0.012,0.001,0.0,0.013000000000000001,0.0,21105675,0.077,0.1,0.023000000000000007
623,ISLAY,2015,0.0,0.008,0.001,0.0,0.009000000000000001,0.0,21105675,0.086,0.1,0.014000000000000012
624,ISLAY,2016,0.0,0.005,0.000,0.0,0.005,0.0,21105675,0.091,0.1,0.009000000000000008
