"fldName";"fldStatusFromDate";"fldStatusToDate";"fldStatus";"fldNpdidField";"fldStatusDateUpdated";"datesyncNPD"
"STATFJORD";"16.06.1976";"24.11.1979";"Approved for production";"43658";"24.11.2016";"30.06.2017"
"STATFJORD";"24.11.1979";"";"Producing";"43658";"";"30.06.2017"
"STATFJORD NORD";"11.12.1990";"23.01.1995";"Approved for production";"43679";"24.11.2016";"30.06.2017"
"STATFJORD NORD";"23.01.1995";"";"Producing";"43679";"";"30.06.2017"
"STATFJORD ØST";"11.12.1990";"24.09.1994";"Approved for production";"43672";"24.11.2016";"30.06.2017"
"STATFJORD ØST";"24.09.1994";"";"Producing";"43672";"";"30.06.2017"
"SVALIN";"23.11.2012";"23.03.2014";"Approved for production";"22507971";"24.11.2016";"30.06.2017"
"SVALIN";"24.03.2014";"";"Producing";"22507971";"";"30.06.2017"
"SYGNA";"30.04.1999";"01.08.2000";"Approved for production";"104718";"24.11.2016";"30.06.2017"
"SYGNA";"01.08.2000";"";"Producing";"104718";"";"30.06.2017"
"TAMBAR";"03.04.2000";"15.07.2001";"Approved for production";"1028599";"24.11.2016";"30.06.2017"
"TAMBAR";"15.07.2001";"";"Producing";"1028599";"";"30.06.2017"
"TAMBAR ØST";"28.06.2007";"01.10.2007";"Approved for production";"4999528";"24.11.2016";"30.06.2017"
"TAMBAR ØST";"02.10.2007";"";"Producing";"4999528";"";"30.06.2017"
"TOMMELITEN GAMMA";"12.06.1986";"03.10.1988";"Approved for production";"43444";"24.11.2016";"30.06.2017"
"TOMMELITEN GAMMA";"03.10.1988";"05.08.1998";"Producing";"43444";"";"30.06.2017"
"TOMMELITEN GAMMA";"05.08.1998";"";"Shut down";"43444";"";"30.06.2017"
"TOR";"04.05.1973";"27.06.1978";"Approved for production";"43520";"24.11.2016";"30.06.2017"
"TOR";"28.06.1978";"31.12.2015";"Producing";"43520";"31.12.2015";"30.06.2017"
"TOR";"01.01.2016";"";"Shut down";"43520";"";"30.06.2017"
"TORDIS";"14.05.1991";"03.06.1994";"Approved for production";"43725";"24.11.2016";"30.06.2017"
"TORDIS";"03.06.1994";"";"Producing";"43725";"";"30.06.2017"
"TRESTAKK";"30.03.2017";"";"Approved for production";"29396445";"";"30.06.2017"
"TROLL";"15.12.1986";"19.09.1995";"Approved for production";"46437";"24.11.2016";"30.06.2017"
"TROLL";"19.09.1995";"";"Producing";"46437";"";"30.06.2017"
"TROLL BRENT B";"06.04.2017";"";"Approved for production";"29398828";"";"30.06.2017"
"TRYM";"26.03.2010";"11.02.2011";"Approved for production";"18081500";"24.11.2016";"30.06.2017"
"TRYM";"12.02.2011";"";"Producing";"18081500";"";"30.06.2017"
"TUNE";"17.12.1999";"28.11.2002";"Approved for production";"853376";"24.11.2016";"30.06.2017"
"TUNE";"28.11.2002";"";"Producing";"853376";"";"30.06.2017"
"TYRIHANS";"16.02.2006";"07.07.2009";"Approved for production";"3960848";"24.11.2016";"30.06.2017"
"TYRIHANS";"08.07.2009";"";"Producing";"3960848";"";"30.06.2017"
"ULA";"30.05.1980";"06.10.1986";"Approved for production";"43800";"24.11.2016";"30.06.2017"
"ULA";"06.10.1986";"";"Producing";"43800";"";"30.06.2017"
"URD";"02.07.2004";"07.11.2005";"Approved for production";"2834734";"24.11.2016";"30.06.2017"
"URD";"08.11.2005";"";"Producing";"2834734";"";"30.06.2017"
"UTGARD";"17.01.2017";"";"Approved for production";"28975098";"";"30.06.2017"
"VALE";"23.03.2001";"31.05.2002";"Approved for production";"1578893";"24.11.2016";"30.06.2017"
"VALE";"31.05.2002";"";"Producing";"1578893";"";"30.06.2017"
"VALEMON";"09.06.2011";"02.01.2015";"Approved for production";"20460969";"24.11.2016";"30.06.2017"
"VALEMON";"03.01.2015";"";"Producing";"20460969";"";"30.06.2017"
"VALHALL";"02.06.1977";"02.10.1982";"Approved for production";"43548";"24.11.2016";"30.06.2017"
"VALHALL";"02.10.1982";"";"Producing";"43548";"";"30.06.2017"
"VARG";"03.05.1996";"21.12.1998";"Approved for production";"43451";"24.11.2016";"30.06.2017"
"VARG";"22.12.1998";"01.06.2016";"Producing";"43451";"07.06.2016";"30.06.2017"
"VARG";"02.06.2016";"";"Shut down";"43451";"";"30.06.2017"
"VEGA";"14.06.2007";"01.12.2010";"Approved for production";"4467595";"24.11.2016";"30.06.2017"
"VEGA";"02.12.2010";"";"Producing";"4467595";"";"30.06.2017"
"VESLEFRIKK";"02.06.1987";"26.12.1989";"Approved for production";"43618";"24.11.2016";"30.06.2017"
"VESLEFRIKK";"26.12.1989";"";"Producing";"43618";"";"30.06.2017"
"VEST EKOFISK";"04.05.1973";"31.05.1977";"Approved for production";"43513";"24.11.2016";"30.06.2017"
"VEST EKOFISK";"31.05.1977";"25.08.1998";"Producing";"43513";"";"30.06.2017"
"VEST EKOFISK";"25.08.1998";"";"Shut down";"43513";"";"30.06.2017"
"VIGDIS";"16.12.1994";"28.01.1997";"Approved for production";"43732";"24.11.2016";"30.06.2017"
